submission_id,Staff_Name,date_,WEEKNUM,Supplier,GrowerName,GrowerName2,Ungraded_Stacks,Ungraded_eggs,Graded_700s,Adjusted_700s,Graded_600s,Adjusted_600s,Graded_800s,Adjusted_800s,Graded_350s,Graded_400s,Graded_900s,Adjusted_900s,Graded_30_PCK,Adjusted_30_PCKs,Graded_500s,Machine_pulp_kilos,Machine_pulp_boxes,Cracked_bx,Cracked_tr,Second_bx,Second_tr,Dirties_bx,Dirties_tr,Lane1_700s,L3_600_bx,L3_900_bx,L3_900_bx_adjusted,PCK_30_bx_L3,GrandTotal,Discrepancy,GRD_above_58,GRD_66_gms,GRD_below_58,GRD_less_50,Machine_pulp,Cracked_percent,Seconds_percent,Dirties_percent,Cr_POP,Dr_POP,Cr_POP_bx,Dr_POP_bx,Mach_Pl,Mach_C,Mach_Pa,Observations,Saleable,Unsaleable,Saleable_percent,Unsaleable_percent
29,Erin,2021-06-02,22,"JRE Washed",,"JRE Washed",43,7740,22,22,5,5,0,NULL,12,0,0,0,0,0,1,2,0,1,4,0,0,0,0,NULL,0,0,0,0,42,1,81,NULL,12,2,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0
30,Erin,2021-06-01,22,JRE,,JRE,281,50580,187,200,32,32,0,NULL,32,0,14,0,0,0,1,16,2,3,4,1,3,6,5,NULL,0,14,13,0,278,3,83,NULL,12,0,1,1,1,3,5,2,1,0,0,0,0,0,0,0,0,0
31,Erin,2021-06-01,22,GROWER,GBN,GBN,192,34560,73,104,12,12,0,NULL,32,0,34,0,32,32,3,6,1,2,1,1,1,5,4,NULL,0,34,31,0,192,0,71,NULL,23,2,0,1,1,3,2,2,0,0,0,0,0,0,0,0,0,0
32,Erin,2021-05-31,22,GROWER,GBN,GBN,512,92160,248,312,81,75,0,NULL,64,0,64,0,28,28,7,28,3,6,1,2,4,12,1,NULL,6,64,58,0,509,3,74,NULL,20,1,1,1,1,2,6,5,1,1,0,0,0,0,0,0,0,0
220,Erin,2021-06-28,26,JRE,NULL,JRE,356,64080,175,246,28,13,NULL,NULL,56,NULL,62,0,23,23,1,19,2,3,0,1,3,13,1,NULL,15,62,56,0,358,-2,84,NULL,10,0,1,1,0,4,4,3,1,1,3,7,9,NULL,339,30,95,8
221,"Jordan ",2021-06-29,26,GROWER,GBN,GBN,288,51840,178,202,44,27,NULL,NULL,0,NULL,8,0,21,21,2,10,1,1,4,1,2,28,4,NULL,17,8,7,0,285,3,71,NULL,17,1,0,1,1,10,3,7,1,1,3,4,3,NULL,252,64,89,23
222,Erin,2021-06-29,26,JRE,NULL,JRE,126,22680,79,79,4,4,NULL,NULL,28,NULL,0,0,8,8,1,8,1,0,5,0,1,2,5,NULL,0,0,0,0,125,1,86,NULL,10,1,1,1,0,2,3,1,1,0,4,2,2,NULL,120,9,96,7
223,Erin,2021-06-29,26,"JRE Washed",NULL,"JRE Washed",38,6840,16,16,4,4,NULL,NULL,16,NULL,0,0,0,0,0,6,1,1,1,0,0,0,0,NULL,0,0,0,0,38,0,84,NULL,11,0,3,3,0,0,1,0,0,0,3,2,0,NULL,36,2,94,5
224,Erin,2021-07-01,26,"JRE Washed","JRE Washed","JRE Washed",25,4500,11,21,3,3,NULL,NULL,0,NULL,11,0,0,0,0,4,0,0,5,0,0,0,0,NULL,0,11,10,0,25,0,85,NULL,12,0,0,3,0,0,1,0,0,0,1,3,1,NULL,24,1,97,4
225,Erin,2021-07-01,26,"GROWER WASHED","GBN ","GBN ",77,13860,43,63,12,12,NULL,NULL,0,NULL,22,0,0,0,1,2,0,1,2,0,0,0,0,NULL,0,22,20,0,77,0,81,NULL,16,1,0,2,0,0,1,0,0,0,0,0,1,NULL,76,1,98,2
226,Erin,2021-07-01,26,GROWER,"GBN ","GBN ",45,8100,14,14,7,7,NULL,NULL,20,NULL,0,0,0,0,0,2,0,1,0,0,3,1,1,NULL,0,0,0,0,44,1,78,NULL,16,0,0,2,1,3,1,0,0,0,1,2,0,NULL,41,5,94,12
227,Erin,2021-07-01,26,GROWER,"Happy hens ","Happy hens ",14,2520,7,7,2,2,NULL,NULL,5,NULL,0,0,0,0,0,0,0,0,2,0,0,0,0,NULL,0,0,0,0,14,0,84,NULL,14,0,0,2,0,0,0,0,0,0,0,0,0,NULL,14,0,98,0
228,Erin,2021-07-01,26,GROWER,"600s tinies (star stamp) ","600s tinies (star stamp) ",96,17280,0,5,83,78,NULL,NULL,0,NULL,0,0,0,0,11,4,0,0,5,0,0,0,0,NULL,5,0,0,0,95,1,5,NULL,82,12,0,1,0,0,0,0,0,0,3,1,1,NULL,94,2,99,2
229,Erin,2021-07-05,27,GROWER,"GBN ","GBN ",384,69120,206,243,47,47,NULL,NULL,44,NULL,41,0,27,27,3,11,1,4,2,2,0,12,2,NULL,0,41,37,0,384,0,75,NULL,19,1,0,1,1,3,4,2,1,0,3,6,3,NULL,364,32,95,8
230,Erin,2021-07-05,27,JRE,JRE,JRE,24,4320,19,19,2,2,NULL,NULL,0,NULL,0,0,0,0,0,2,0,0,3,0,1,1,2,NULL,0,0,0,0,23,1,83,NULL,9,0,0,2,1,6,1,0,0,0,0,1,1,NULL,21,4,91,19
231,Erin,2021-07-06,27,JRE,JRE,JRE,456,82080,229,268,9,9,NULL,NULL,113,NULL,43,0,34,34,1,30,3,4,0,1,2,22,2,NULL,0,43,39,0,455,1,84,NULL,9,0,1,1,0,5,6,2,1,0,8,15,8,NULL,425,54,93,12
232,Erin,2021-07-07,27,"GROWER WASHED","GBN ","GBN ",12,2160,10,10,2,2,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,3,0,0,0,0,NULL,0,0,0,0,13,-1,80,NULL,16,0,0,4,0,0,0,0,0,0,NULL,NULL,NULL,NULL,12,0,96,0
233,Erin,2021-07-07,27,GROWER,"Happy hens ","Happy hens ",20,3600,17,17,2,2,NULL,NULL,0,NULL,0,0,0,0,0,0,0,0,2,0,0,0,0,NULL,0,0,0,0,19,1,88,NULL,10,0,0,2,0,0,0,0,0,0,NULL,NULL,NULL,NULL,19,1,98,5
234,Erin,2021-07-07,27,"JRE Washed","JRE Washed","JRE Washed",65,11700,52,52,6,6,NULL,NULL,0,NULL,0,0,0,0,0,10,1,4,2,0,0,0,0,NULL,0,0,0,0,63,2,82,NULL,10,0,2,7,0,0,2,0,0,0,0,9,2,NULL,58,7,92,11
235,Erin,2021-07-07,27,JRE,JRE,JRE,108,19440,27,56,3,3,20,NULL,13,NULL,32,0,8,8,1,6,1,1,0,0,1,7,2,NULL,0,32,29,0,110,18,76,NULL,12,1,1,1,0,8,1,1,0,0,1,3,2,20x800,81,35,89,38
236,Erin,2021-07-08,27,JRE,JRE,JRE,127,22860,79,106,17,10,0,NULL,0,NULL,9,0,12,0,0,4,0,1,1,1,1,6,4,NULL,7,9,8,12,125,2,85,NULL,18,0,0,1,1,5,2,1,0,0,0,3,1,NULL,116,18,93,14
238,Erin,2021-07-12,28,JRE,JRE,JRE,294,52920,135,178,35,11,23,NULL,44,NULL,21,0,14,14,1,18,2,2,4,1,2,14,2,NULL,24,21,19,0,291,3,76,NULL,9,0,1,1,1,5,4,2,1,0,2,10,6,NULL,248,60,85,21
239,Erin,2021-07-12,28,GROWER,"GBN ","GBN ",80,14400,60,60,15,15,0,NULL,0,NULL,0,0,0,0,0,8,1,1,0,0,3,1,5,NULL,0,0,0,0,79,1,76,NULL,19,0,1,1,1,2,0,1,0,0,5,2,1,NULL,75,7,95,9
240,Erin,2021-07-13,28,GROWER,"GBN ","GBN ",406,73080,134,184,43,43,26,NULL,90,NULL,56,0,38,38,4,24,2,2,4,1,1,15,5,NULL,0,56,50,0,407,-1,67,NULL,20,1,1,1,0,4,5,2,1,0,8,7,8,NULL,359,62,88,15
241,Erin,2021-07-12,28,GROWER,"600s (stars) ","600s (stars) ",64,11520,0,0,59,59,0,NULL,0,NULL,0,0,0,0,4,1,0,0,4,0,0,0,0,NULL,0,0,0,0,64,0,0,NULL,93,6,0,1,0,0,0,0,0,0,NULL,1,NULL,NULL,63,1,99,2
242,Erin,2021-07-14,28,GROWER,"GBN ","GBN ",106,19080,80,80,21,21,0,NULL,0,NULL,0,0,0,0,0,4,0,1,4,0,5,3,3,NULL,0,0,0,0,107,-1,75,NULL,20,0,0,2,1,3,3,0,1,0,0,2,2,NULL,101,9,94,8
243,Erin,2021-07-15,28,GROWER,Springfield,Springfield,15,2700,13,13,1,1,0,NULL,0,NULL,0,0,0,0,0,0,0,0,3,0,0,0,0,NULL,0,0,0,0,15,1,90,NULL,7,0,0,3,0,0,0,0,0,0,NULL,NULL,NULL,NULL,14,1,97,7
244,Holly,2021-07-15,28,"GROWER WASHED","GBN ","GBN ",15,2700,11,11,2,2,0,NULL,0,NULL,0,0,0,0,0,0,0,1,1,0,0,0,0,NULL,0,0,0,0,14,1,78,NULL,14,0,0,8,0,0,0,0,0,0,NULL,NULL,NULL,NULL,13,2,92,14
245,Erin,2021-07-15,28,"JRE Washed","JRE Washed","JRE Washed",69,12420,58,58,7,7,0,NULL,0,NULL,0,0,0,0,0,13,1,3,5,0,0,0,0,NULL,0,0,0,0,70,-1,83,NULL,10,0,1,6,0,0,2,0,0,0,4,8,0,NULL,65,4,93,6
246,Erin,2021-07-15,28,GROWER,"GBN ","GBN ",48,8640,15,15,8,8,0,NULL,22,NULL,0,0,0,0,0,4,0,0,2,0,2,1,1,NULL,0,0,0,0,47,1,79,NULL,17,0,0,1,1,3,1,0,0,0,3,1,0,NULL,45,4,96,9
247,Erin,2021-07-15,28,JRE,JRE,JRE,215,38700,111,134,19,19,24,NULL,26,NULL,25,0,0,0,0,10,1,1,4,0,4,9,1,NULL,0,25,23,0,215,0,74,NULL,9,0,1,1,0,4,4,1,1,0,3,5,3,NULL,179,46,83,21
248,Erin,2021-07-15,28,GROWER,"Spring ranch tinies ","Spring ranch tinies ",128,23040,0,0,7,7,0,NULL,0,NULL,0,0,0,0,116,6,1,2,5,0,0,0,0,NULL,0,0,0,0,127,1,0,NULL,6,92,1,2,0,0,2,0,0,0,3,2,2,NULL,123,5,97,4
249,Erin,2021-07-19,29,JRE,JRE,JRE,268,48240,142,151,5,5,17,NULL,52,NULL,10,0,18,18,1,8,1,1,3,2,4,15,1,NULL,0,10,9,0,264,4,77,NULL,9,0,0,1,1,6,4,1,1,0,1,7,0,NULL,227,56,86,21
250,Erin,2021-07-19,29,GROWER,"GBN ","GBN ",192,34560,76,126,30,30,0,NULL,8,NULL,56,0,4,4,1,13,1,1,3,2,0,17,1,NULL,0,56,50,0,191,1,70,NULL,18,1,1,1,1,9,1,2,0,0,5,6,2,NULL,169,40,89,21
251,Erin,2021-07-20,29,GROWER,GBN,GBN,512,92160,285,285,44,44,15,NULL,71,NULL,32,29,21,21,3,34,3,6,4,2,3,30,1,NULL,0,0,0,0,510,2,70,NULL,18,1,1,1,1,6,8,5,1,1,16,15,4,NULL,453,89,89,18
252,Erin,2021-07-21,29,"GROWER WASHED","GBN ","GBN ",44,7920,36,36,7,7,0,NULL,0,NULL,0,0,0,0,0,0,0,0,4,0,0,0,0,NULL,0,0,0,0,44,0,82,NULL,16,0,0,2,0,0,1,0,0,0,NULL,NULL,NULL,NULL,43,1,98,2
253,Erin,2021-07-21,29,"JRE Washed","JRE Washed","JRE Washed",52,9360,29,29,5,5,0,NULL,15,NULL,0,0,0,0,1,7,1,2,0,0,0,0,0,NULL,0,0,0,0,53,-1,83,NULL,9,2,2,4,0,0,1,0,0,0,1,5,1,NULL,50,2,94,4
254,Erin,2021-07-21,29,GROWER,"Happy hens ","Happy hens ",28,5040,23,23,4,4,0,NULL,0,NULL,0,0,0,0,0,1,0,0,2,0,0,0,0,NULL,0,0,0,0,27,1,84,NULL,15,0,0,1,0,0,1,0,0,0,NULL,NULL,1,NULL,27,1,99,4
255,"Erin Hornwood",2021-07-22,29,JRE,NULL,JRE,99,17820,32,32,2,2,27,NULL,23,NULL,0,0,7,7,0,2,0,0,3,0,3,6,5,NULL,0,0,0,0,99,0,56,NULL,9,0,0,1,1,7,1,1,0,0,NULL,2,NULL,NULL,64,42,65,42
256,"Erin Hornwood",2021-07-22,29,GROWER,GBN,GBN,256,46080,124,157,21,16,0,NULL,25,NULL,43,11,19,19,2,14,1,2,1,1,4,17,2,NULL,5,31,28,0,252,4,72,NULL,18,1,0,1,1,7,4,9,1,2,6,6,2,NULL,230,44,91,17
257,"Erin Hornwood",2021-07-22,29,GROWER,"Vp 500s ","Vp 500s ",71,12780,0,0,5,5,0,NULL,0,NULL,0,0,0,0,61,10,1,3,5,0,0,0,0,NULL,0,0,0,0,71,0,0,NULL,7,86,1,5,0,0,1,0,0,0,2,1,7,NULL,66,5,93,7
258,"Erin Hornwood",2021-07-23,29,JRE,NULL,JRE,65,11700,53,53,1,1,0,NULL,0,NULL,5,5,0,0,0,2,0,0,2,0,3,5,1,NULL,0,0,0,0,65,1,82,NULL,9,0,0,1,1,8,0,1,0,0,NULL,2,1,NULL,59,12,91,18
259,"Erin Hornwood",2021-07-26,30,JRE,NULL,JRE,202,36360,134,134,18,18,33,33,0,NULL,0,0,0,0,0,8,1,2,0,2,1,10,5,0,0,0,0,0,201,1,67,16,9,0,1,1,1,5,3,1,1,0,2,4,2,NULL,185,28,92,14
