id_primkey,Shed_num,Staff,DATEC,Weeknum,Task,First_collect,Time_collect_start,Vis_check,clean_eggs,dirty_eggs,Seconds_eggs,jumbos_eggs,cracked_eggs,Total_eggs,Stack_weight1,Stack_weight2,Stack_weight3,Stack_weight4,Egg_Weight,Time_collect_fin,Flock_total,Flock_age,Yield,Industry_Average,Last_weeks_Average,tss,tsp
103,Shed 8,Oscar,21/12/2019,50,,,9:03:47,Visual Check ok,1880,74,6,15,19,0,11.9,12,0,0,0,10:53:17,0,0,0,0,0,8/07/2021 15:58,15:58:04
104,Shed 9,Tamsyn,21/12/2019,50,,,11:14:00,Visual Check ok,360,25,2,5,2,0,2,2,0,0,0,8:16:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
105,Shed 1,Kylie ,22/12/2019,50,,,8:26:00,Visual Check ok,1320,67,5,1,47,0,12.1,12,0,0,0,8:35:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
106,Shed 2,Kylie ,22/12/2019,50,,,8:03:00,Visual Check ok,955,36,3,0,18,0,12,12.1,0,0,0,8:21:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
110,Shed 7,Kylie ,22/12/2019,50,,,8:47:00,Visual Check ok,2236,69,48,1,23,0,12.1,12.2,0,0,0,9:19:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
111,Shed 8,Kylie ,22/12/2019,50,,,9:52:00,Visual Check ok,2068,19,10,22,34,0,0,0,0,0,0,10:24:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
112,Shed 9,Kylie ,22/12/2019,50,,,11:20:00,Visual Check ok,510,8,4,1,9,0,7.2,7.1,0,0,0,11:28:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
113,Shed 1,Megan ,23/12/2019,51,,,10:21:00,Visual Check ok,2094,66,17,1,42,0,12.1,12.1,0,0,0,10:46:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
114,Shed 2,Megan,23/12/2019,51,,,8:00:00,Visual Check ok,1290,120,29,6,23,0,12.2,12.2,0,0,0,8:36:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
115,Shed 4,Megan ,23/12/2019,51,,,13:00:00,Visual Check ok,1800,119,26,3,30,0,12.3,12.3,0,0,0,13:27:00,0,0,0,0,0,8/07/2021 15:58,15:58:04
